id,role,question,ideal_answer,candidate_answer,score,feedback
1,Backend Engineer,Explain the difference between SQL and NoSQL databases.,SQL databases are relational and use structured schemas; NoSQL databases are non-relational and offer flexible schemas for unstructured data.,,0,Skill: Architecture
2,Backend Engineer,How do you design a scalable REST API for heavy read traffic?,Implement caching strategies like Redis or Memcached; use CDNs for static assets; and optimize database queries using indexes and read replicas.,,0,Skill: Architecture
3,Backend Engineer,What is the purpose of database indexing?,Database indexing improves the speed of data retrieval operations on a table at the cost of additional storage space and slower write operations.,,0,Skill: Architecture
4,Backend Engineer,Describe the process of secure authentication using OAuth2.,OAuth2 involves obtaining an access token via an authorization server after the user grants permissions to the client application.,,0,Skill: Architecture
5,Backend Engineer,Explain the concept of microservices architecture.,Microservices architecture decomposes a large application into a collection of small; independent; and loosely coupled services that communicate over a network.,,0,Skill: Architecture
6,Frontend Developer,What is the difference between CSS Grid and Flexbox?,CSS Grid provides two-dimensional layout control (rows and columns); while Flexbox provides one-dimensional control (rows or columns).,,0,Skill: React/Web
7,Frontend Developer,How do you optimize web performance in React applications?,Use React.memo for component memoization; utilize useMemo and useCallback hooks; and implement lazy loading for images and routes.,,0,Skill: React/Web
8,Frontend Developer,What are React Hooks and why are they used?,React Hooks are functions that let you use state and other React features in functional components without writing a class.,,0,Skill: React/Web
9,Frontend Developer,Explain the importance of semantic HTML for accessibility.,Semantic HTML provides clear meaning and structure to web content; making it easier for screen readers and search engines to interpret the page.,,0,Skill: React/Web
10,Frontend Developer,How do you handle state management across large-scale frontend applications?,Utilize state management libraries like Redux or Recoil; or use React's built-in Context API for smaller shared states.,,0,Skill: React/Web
11,Mobile Developer,Explain state management in Flutter or React Native.,State management involves tracking changes to data and updating the UI accordingly. Libraries like Bloc; Provider; or Redux are commonly used.,,0,Skill: Mobile Architecture
12,Mobile Developer,What are the benefits of cross-platform mobile development?,Cross-platform development allows developers to write code once and deploy it on multiple platforms (iOS and Android); reducing development time and cost.,,0,Skill: Mobile Architecture
13,Mobile Developer,How do you optimize mobile app performance for low-end devices?,Minimize image sizes; use efficient list rendering; reduce background processes; and optimize network requests for low bandwidth.,,0,Skill: Mobile Architecture
14,Mobile Developer,What is a native bridge in React Native?,A native bridge enables communication between JavaScript code and native modules/APIs (Java/Obj-C) in a React Native application.,,0,Skill: Mobile Architecture
15,Mobile Developer,How do you implement offline-first functionality in a mobile app?,Use local databases like SQLite or Realm to store data locally and synchronize it with a remote server once a connection is established.,,0,Skill: Mobile Architecture
16,BI Analyst,Explain the ETL process and its importance in BI.,ETL (Extract; Transform; Load) involves extracting data from sources; cleaning/transforming it; and loading it into a data warehouse for analysis.,,0,Skill: Data Analysis
17,BI Analyst,What are KPIs and how do you choose them?,KPIs (Key Performance Indicators) are measurable values that indicate achievement. Choose metrics aligned with business goals like revenue; churn; or conversion.,,0,Skill: Data Analysis
18,BI Analyst,How do you design an effective dashboard for business users?,Focus on clarity; use meaningful visualizations; highlight key trends; and ensure it's interactive and easy to navigate for non-technical users.,,0,Skill: Data Analysis
19,BI Analyst,Explain the difference between a Data Warehouse and a Data Lake.,A Data Warehouse stores structured data for specific analysis; while a Data Lake stores raw; unstructured or semi-structured data at scale.,,0,Skill: Data Analysis
20,BI Analyst,What is the role of SQL in business intelligence?,SQL is used to query; manipulate; and aggregate data from relational databases to extract insights and generate reports.,,0,Skill: Data Analysis
21,ML Engineer,Explain the difference between supervised and unsupervised learning.,Supervised learning uses labeled data to train models; while unsupervised learning finds patterns and structures in unlabeled data.,,0,Skill: Machine Learning
22,ML Engineer,What is a Convolutional Neural Network (CNN) and what is its primary use?,A CNN is a deep learning architecture designed for processing structured grid data like images; primarily used for image recognition and classification.,,0,Skill: Machine Learning
23,ML Engineer,Explain transfer learning and its advantages in AI.,Transfer learning involves using a pre-trained model on a new; related task; which saves time and requires less data to achieve high performance.,,0,Skill: Machine Learning
24,ML Engineer,How do you handle imbalanced datasets in machine learning?,Use techniques like oversampling; undersampling; or synthetic data generation (SMOTE); and optimize for metrics like F1-score or AUC-ROC.,,0,Skill: Machine Learning
25,ML Engineer,What is hyperparameter tuning and how is it performed?,Hyperparameter tuning involves optimizing model parameters like learning rate or batch size using methods like Grid Search; Random Search; or Bayesian Optimization.,,0,Skill: Machine Learning
