Age,Gender,Education,Skills,Experience_Years,Previous_Companies,Certifications,Job_Role_Applied,Job_Description,Fit_Score
26,F,B.Tech CS,"Project Management, NLP, Data Analysis, AWS Certified",5,"GlobalCorp, FinTech Ltd",Java,AI Engineer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.97
32,F,B.Tech CS,"TensorFlow, Oracle Java Cert, AWS Certified",11,FinTech Ltd,AWS Certified,Project Manager,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
36,M,B.Sc IT,"Data Analysis, Agile, Leadership, Machine Learning",1,"CodeFactory, WebWorks, GlobalCorp",,Project Manager,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.75
30,M,B.Tech Computer,"PyTorch, TensorFlow, Oracle Java Cert",15,"WebWorks, CodeFactory","PyTorch, Leadership",Data Analyst,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
38,M,B.Tech Computer,"Leadership, Project Management, AWS Certified, Python",1,"FinTech Ltd, CodeFactory",Machine Learning,Software Developer,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.81
38,M,MBA,"NLP, Python, PyTorch",4,TechSoft,,AI Engineer,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.85
35,F,B.Tech CS,"AWS Certified, Agile, Java, PyTorch, Deep Learning",4,TechSoft,SQL,Data Scientist,Manage projects using Agile and Project Management skills. Leadership required.,0.99
38,M,B.Tech CS,"TensorFlow, Leadership, Deep Learning, NLP",15,"AI Labs, FinTech Ltd, CodeFactory",PyTorch,Project Manager,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
37,M,MBA,"Python, Java, AWS Certified, Agile, Deep Learning",1,CodeFactory,,Data Analyst,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.83
35,M,MBA,"Deep Learning, PyTorch, TensorFlow, Oracle Java Cert",4,"TechSoft, CodeFactory, AI Solutions",,Project Manager,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.89
35,F,B.Sc IT,"AWS Certified, Machine Learning, PyTorch, SQL",1,AI Labs,,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.74
40,M,MBA,"Deep Learning, Leadership, AWS Certified",15,"DataCorp, AI Solutions, TechSoft",Leadership,AI Engineer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
31,F,B.Tech CS,"Project Management, NLP, Oracle Java Cert, Python",11,"DataCorp, AI Solutions, FinTech Ltd","Oracle Java Cert, Leadership",Software Developer,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
28,F,M.Sc AI,"Machine Learning, Oracle Java Cert, TensorFlow, Java, NLP",13,"CodeFactory, DataCorp, AI Solutions","Agile, Project Management",Data Analyst,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
31,M,MBA,"TensorFlow, Python, SQL, Machine Learning, Agile",2,"CodeFactory, DataCorp, AI Labs",SQL,Data Analyst,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.87
40,M,B.Sc IT,"Oracle Java Cert, Deep Learning, TensorFlow",4,TechSoft,Machine Learning,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.88
30,M,MBA,"Java, Agile, NLP",12,"DataCorp, AI Labs",,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
36,F,MBA,"Oracle Java Cert, TensorFlow",4,WebWorks,,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.77
26,F,B.Tech Computer,"Java, Leadership",14,"GlobalCorp, WebWorks",,Project Manager,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
37,M,M.Sc AI,"Machine Learning, SQL, Oracle Java Cert, NLP",9,"CodeFactory, FinTech Ltd, DataCorp","Machine Learning, SQL",Software Developer,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
38,M,B.Tech Computer,"Data Analysis, Python, Project Management",1,"DataCorp, AI Solutions",,AI Engineer,Manage projects using Agile and Project Management skills. Leadership required.,0.7
30,F,B.Tech Computer,"AWS Certified, Machine Learning, Project Management, Deep Learning",12,"FinTech Ltd, WebWorks, CodeFactory",,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
40,F,MBA,"PyTorch, Machine Learning",8,FinTech Ltd,SQL,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
27,F,B.Tech Computer,"Java, Data Analysis",3,TechSoft,,Data Scientist,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.74
23,M,B.Sc IT,"Python, Data Analysis",5,GlobalCorp,,Project Manager,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.85
35,F,B.Tech Computer,"Java, Data Analysis, SQL, Agile",6,"AI Solutions, DataCorp",,Project Manager,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
32,F,B.Tech CS,"NLP, SQL, Data Analysis, PyTorch",6,FinTech Ltd,"Leadership, NLP",Project Manager,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
33,M,B.Tech CS,"Agile, Java, Machine Learning, Project Management",5,"CodeFactory, WebWorks, DataCorp","Machine Learning, AWS Certified",Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
30,F,B.Tech Computer,"Project Management, Leadership",3,"DataCorp, CodeFactory",,Data Analyst,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.77
23,F,M.Sc AI,"Python, NLP, Java, Leadership, Project Management",10,"FinTech Ltd, GlobalCorp, AI Labs",Python,Project Manager,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
23,M,MBA,"Project Management, Oracle Java Cert, Deep Learning",14,"WebWorks, AI Solutions",,Project Manager,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
27,M,B.Tech Computer,"SQL, AWS Certified, PyTorch, Java, Machine Learning",8,"FinTech Ltd, WebWorks","PyTorch, Java",Data Scientist,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
33,F,B.Sc IT,"Java, Deep Learning",15,"CodeFactory, WebWorks",,AI Engineer,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
26,F,B.Sc IT,"Java, Deep Learning, PyTorch, Agile, Data Analysis",7,"CodeFactory, GlobalCorp",,Data Analyst,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
29,F,B.Tech Computer,"Oracle Java Cert, NLP, AWS Certified, Data Analysis",6,FinTech Ltd,Deep Learning,Project Manager,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
27,F,M.Sc AI,"NLP, Python, PyTorch, Java",12,"GlobalCorp, CodeFactory",,Software Developer,Manage projects using Agile and Project Management skills. Leadership required.,0.99
38,M,MBA,"SQL, PyTorch, NLP",15,DataCorp,"TensorFlow, Data Analysis",Software Developer,Manage projects using Agile and Project Management skills. Leadership required.,0.99
29,M,MBA,"TensorFlow, Machine Learning, Python, Oracle Java Cert",11,"TechSoft, DataCorp",,Data Analyst,Manage projects using Agile and Project Management skills. Leadership required.,0.99
30,F,B.Tech CS,"SQL, AWS Certified, NLP, Project Management",14,AI Solutions,Python,Data Analyst,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
28,M,B.Tech Computer,"PyTorch, TensorFlow, Java, Machine Learning, Python",1,"DataCorp, TechSoft","PyTorch, Java",Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.83
29,M,B.Sc IT,"Deep Learning, TensorFlow, Leadership, Project Management",14,"TechSoft, FinTech Ltd, CodeFactory",,Data Scientist,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
35,F,B.Tech CS,"AWS Certified, Oracle Java Cert, PyTorch, TensorFlow",15,TechSoft,,Software Developer,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
26,F,B.Tech Computer,"SQL, TensorFlow, PyTorch",8,"TechSoft, FinTech Ltd, CodeFactory","Machine Learning, Oracle Java Cert",Software Developer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
40,F,B.Tech CS,"Python, Deep Learning, TensorFlow, Java",6,FinTech Ltd,Deep Learning,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.99
32,M,M.Sc AI,"AWS Certified, Oracle Java Cert, Python, Java",3,GlobalCorp,Leadership,Data Scientist,Manage projects using Agile and Project Management skills. Leadership required.,0.87
35,M,B.Tech Computer,"Oracle Java Cert, Leadership, AWS Certified, TensorFlow",7,"DataCorp, FinTech Ltd, CodeFactory",,Software Developer,Manage projects using Agile and Project Management skills. Leadership required.,0.99
22,M,B.Tech Computer,"Java, SQL, Machine Learning",6,"WebWorks, AI Labs",NLP,Project Manager,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.97
28,M,B.Tech Computer,"Java, Python",3,"CodeFactory, GlobalCorp, FinTech Ltd",,Data Scientist,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.77
25,F,MBA,"Agile, Deep Learning, Java",2,"CodeFactory, WebWorks, TechSoft",Oracle Java Cert,Project Manager,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.79
32,M,M.Sc AI,"Python, Agile",8,GlobalCorp,Java,Data Scientist,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
34,M,M.Sc AI,"Leadership, Deep Learning",10,FinTech Ltd,"Java, Python",AI Engineer,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
23,F,M.Sc AI,"Python, TensorFlow, Agile, Oracle Java Cert",4,"FinTech Ltd, DataCorp","Python, Java",Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.97
